id,symbol,base,quote,status,contractType,linear,pricePrecision,amountPrecision,minQty,minNotional,tickSize,stepSize
1000000BOBUSDT,1000000BOB/USDT:USDT,1000000BOB,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1000000MOGUSDT,1000000MOG/USDT:USDT,1000000MOG,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
1000BONKUSDC,1000BONK/USDC:USDC,1000BONK,USDC,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000BONKUSDT,1000BONK/USDT:USDT,1000BONK,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000CATUSDT,1000CAT/USDT:USDT,1000CAT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1000CHEEMSUSDT,1000CHEEMS/USDT:USDT,1000CHEEMS,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000FLOKIUSDT,1000FLOKI/USDT:USDT,1000FLOKI,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1000LUNCUSDT,1000LUNC/USDT:USDT,1000LUNC,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1000PEPEUSDC,1000PEPE/USDC:USDC,1000PEPE,USDC,TRADING,PERPETUAL,True,1e-07,1.0,1.0,5.0,1e-07,1.0
1000PEPEUSDT,1000PEPE/USDT:USDT,1000PEPE,USDT,TRADING,PERPETUAL,True,1e-07,1.0,1.0,5.0,1e-07,1.0
1000RATSUSDT,1000RATS/USDT:USDT,1000RATS,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1000SATSUSDT,1000SATS/USDT:USDT,1000SATS,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000SHIBUSDC,1000SHIB/USDC:USDC,1000SHIB,USDC,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000SHIBUSDT,1000SHIB/USDT:USDT,1000SHIB,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000WHYUSDT,1000WHY/USDT:USDT,1000WHY,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
1000XUSDT,1000X/USDT:USDT,1000X,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1000XECUSDT,1000XEC/USDT:USDT,1000XEC,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
1INCHUSDT,1INCH/USDT:USDT,1INCH,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
1MBABYDOGEUSDT,1MBABYDOGE/USDT:USDT,1MBABYDOGE,USDT,TRADING,PERPETUAL,True,1e-07,1.0,1.0,5.0,1e-07,1.0
AUSDT,A/USDT:USDT,A,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
A2ZUSDT,A2Z/USDT:USDT,A2Z,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
AAVEUSDC,AAVE/USDC:USDC,AAVE,USDC,TRADING,PERPETUAL,True,0.01,0.1,0.1,5.0,0.01,0.1
AAVEUSDT,AAVE/USDT:USDT,AAVE,USDT,TRADING,PERPETUAL,True,0.01,0.1,0.1,5.0,0.01,0.1
ABCCCUSDT,ABCCC/USDT:USDT,ABCCC,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ACEUSDT,ACE/USDT:USDT,ACE,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
ACHUSDT,ACH/USDT:USDT,ACH,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
ACTUSDT,ACT/USDT:USDT,ACT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ACXUSDT,ACX/USDT:USDT,ACX,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ADAUSDC,ADA/USDC:USDC,ADA,USDC,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ADAUSDT,ADA/USDT:USDT,ADA,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
AEROUSDT,AERO/USDT:USDT,AERO,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
AEVOUSDT,AEVO/USDT:USDT,AEVO,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
AGLDUSDT,AGLD/USDT:USDT,AGLD,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
AGTUSDT,AGT/USDT:USDT,AGT,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
AIUSDT,AI/USDT:USDT,AI,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
AI16ZUSDT,AI16Z/USDT:USDT,AI16Z,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
AINUSDT,AIN/USDT:USDT,AIN,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
AIOTUSDT,AIOT/USDT:USDT,AIOT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
AIXBTUSDT,AIXBT/USDT:USDT,AIXBT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
AKTUSDT,AKT/USDT:USDT,AKT,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ALCHUSDT,ALCH/USDT:USDT,ALCH,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ALGOUSDT,ALGO/USDT:USDT,ALGO,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ALICEUSDT,ALICE/USDT:USDT,ALICE,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ALLUSDT,ALL/USDT:USDT,ALL,USDT,TRADING,PERPETUAL,True,0.001,1.0,10.0,5.0,0.001,1.0
ALPACAUSDT,ALPACA/USDT:USDT,ALPACA,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ALPHAUSDT,ALPHA/USDT:USDT,ALPHA,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ALPINEUSDT,ALPINE/USDT:USDT,ALPINE,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ALTUSDT,ALT/USDT:USDT,ALT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ANIMEUSDT,ANIME/USDT:USDT,ANIME,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
ANKRUSDT,ANKR/USDT:USDT,ANKR,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
APEUSDT,APE/USDT:USDT,APE,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
API3USDT,API3/USDT:USDT,API3,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
APTUSDT,APT/USDT:USDT,APT,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ARUSDT,AR/USDT:USDT,AR,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ARBUSDC,ARB/USDC:USDC,ARB,USDC,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ARBUSDT,ARB/USDT:USDT,ARB,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
ARCUSDT,ARC/USDT:USDT,ARC,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ARKUSDT,ARK/USDT:USDT,ARK,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
ARKMUSDT,ARKM/USDT:USDT,ARKM,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
ARPAUSDT,ARPA/USDT:USDT,ARPA,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ASRUSDT,ASR/USDT:USDT,ASR,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
ASTRUSDT,ASTR/USDT:USDT,ASTR,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ATAUSDT,ATA/USDT:USDT,ATA,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
ATHUSDT,ATH/USDT:USDT,ATH,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
ATOMUSDT,ATOM/USDT:USDT,ATOM,USDT,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
AUCTIONUSDT,AUCTION/USDT:USDT,AUCTION,USDT,TRADING,PERPETUAL,True,0.01,0.01,0.01,5.0,0.01,0.01
AVAUSDT,AVA/USDT:USDT,AVA,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
AVAAIUSDT,AVAAI/USDT:USDT,AVAAI,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
AVAXUSDC,AVAX/USDC:USDC,AVAX,USDC,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
AVAXUSDT,AVAX/USDT:USDT,AVAX,USDT,TRADING,PERPETUAL,True,0.01,1.0,1.0,5.0,0.01,1.0
AXLUSDT,AXL/USDT:USDT,AXL,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
AXSUSDT,AXS/USDT:USDT,AXS,USDT,TRADING,PERPETUAL,True,0.001,1.0,1.0,5.0,0.001,1.0
BUSDT,B/USDT:USDT,B,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
B2USDT,B2/USDT:USDT,B2,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
B3USDT,B3/USDT:USDT,B3,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
BABYUSDT,BABY/USDT:USDT,BABY,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
BAKEUSDT,BAKE/USDT:USDT,BAKE,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BALUSDT,BAL/USDT:USDT,BAL,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
BANUSDT,BAN/USDT:USDT,BAN,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BANANAUSDT,BANANA/USDT:USDT,BANANA,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
BANANAS31USDT,BANANAS31/USDT:USDT,BANANAS31,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
BANDUSDT,BAND/USDT:USDT,BAND,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
BANKUSDT,BANK/USDT:USDT,BANK,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
BATUSDT,BAT/USDT:USDT,BAT,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
BBUSDT,BB/USDT:USDT,BB,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BCHUSDC,BCH/USDC:USDC,BCH,USDC,TRADING,PERPETUAL,True,0.01,0.001,0.001,5.0,0.01,0.001
BCHUSDT,BCH/USDT:USDT,BCH,USDT,TRADING,PERPETUAL,True,0.01,0.001,0.001,5.0,0.01,0.001
BDXNUSDT,BDXN/USDT:USDT,BDXN,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
BEAMXUSDT,BEAMX/USDT:USDT,BEAMX,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
BELUSDT,BEL/USDT:USDT,BEL,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BERAUSDT,BERA/USDT:USDT,BERA,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
BICOUSDT,BICO/USDT:USDT,BICO,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BIGTIMEUSDT,BIGTIME/USDT:USDT,BIGTIME,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BIOUSDT,BIO/USDT:USDT,BIO,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BLURUSDT,BLUR/USDT:USDT,BLUR,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BMTUSDT,BMT/USDT:USDT,BMT,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BNBUSDC,BNB/USDC:USDC,BNB,USDC,TRADING,PERPETUAL,True,0.01,0.01,0.01,5.0,0.01,0.01
BNBUSDT,BNB/USDT:USDT,BNB,USDT,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
BNTUSDT,BNT/USDT:USDT,BNT,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BNXUSDT,BNX/USDT:USDT,BNX,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
BOMEUSDC,BOME/USDC:USDC,BOME,USDC,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
BOMEUSDT,BOME/USDT:USDT,BOME,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
BONDUSDT,BOND/USDT:USDT,BOND,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
BRUSDT,BR/USDT:USDT,BR,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
BRETTUSDT,BRETT/USDT:USDT,BRETT,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
BROCCOLI714USDT,BROCCOLI714/USDT:USDT,BROCCOLI714,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
BROCCOLIF3BUSDT,BROCCOLIF3B/USDT:USDT,BROCCOLIF3B,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
BSVUSDT,BSV/USDT:USDT,BSV,USDT,TRADING,PERPETUAL,True,0.01,0.1,0.1,5.0,0.01,0.1
BSWUSDT,BSW/USDT:USDT,BSW,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
BTCUSDC,BTC/USDC:USDC,BTC,USDC,TRADING,PERPETUAL,True,0.1,0.001,0.001,100.0,0.1,0.001
BTCUSDT,BTC/USDT:USDT,BTC,USDT,TRADING,PERPETUAL,True,0.1,0.001,0.001,100.0,0.1,0.001
BTCDOMUSDT,BTCDOM/USDT:USDT,BTCDOM,USDT,TRADING,PERPETUAL,True,0.1,0.001,0.001,5.0,0.1,0.001
BULLAUSDT,BULLA/USDT:USDT,BULLA,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
CUSDT,C/USDT:USDT,C,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
C98USDT,C98/USDT:USDT,C98,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
CAKEUSDT,CAKE/USDT:USDT,CAKE,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
CARVUSDT,CARV/USDT:USDT,CARV,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
CATIUSDT,CATI/USDT:USDT,CATI,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
